date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,year,month
2006-07-31,-5.990384615461538,5.6608974361538476,-3.926923077076923,2006,7
2006-08-31,-7.0347709205806455,14.17316503,-3.079978962032258,2006,8
2006-09-30,-6.266377673766667,7.029414251333332,-4.005397688133333,2006,9
2006-10-31,-5.3521546164,5.378175782666665,-3.8195992699666665,2006,10
2006-11-30,-5.757240438857143,7.1769916503571425,-4.10991198025,2006,11
2006-12-31,-5.09846141556,4.662310370799998,-4.15890663776,2006,12
2007-01-31,-6.1346670245,7.287142962142858,-4.517354231321429,2007,1
2007-02-28,-5.717373266879999,5.1021307808,-4.49198911476,2007,2
2007-03-31,-6.594669996869565,10.141562520434784,-4.576085877652174,2007,3
2007-04-30,-6.4938680258999995,7.034631203500001,-4.97162218285,2007,4
2007-05-31,-5.516901797354839,-1.911857734838709,-5.548507895967742,2007,5
2007-06-30,-5.914251207733333,-0.25477656966666706,-5.0399275362,2007,6
2007-07-31,-6.253091397903226,7.961559139999999,-3.66039426516129,2007,7
2007-08-31,-5.9266538100967745,3.590702432580646,-4.222039115064516,2007,8
2007-09-30,-7.486600241566666,17.382222222333333,-2.997067230233333,2007,9
2007-10-31,-5.819839257166667,5.761729002000001,-4.3697439306999994,2007,10
2007-11-30,-5.877315508033333,7.343096689,-4.1944304746666665,2007,11
2007-12-31,-5.3874963419999995,4.183934234193547,-4.442378254129032,2007,12
2008-01-31,-6.0043032986,6.757828836799999,-4.57516042928,2008,1
2008-02-29,-6.207067488681818,8.956623352272727,-4.3625452889545455,2008,2
2008-03-31,-6.240758409185185,6.655387972222222,-4.857523304740742,2008,3
2008-04-30,-5.967183833535715,3.911510462857142,-4.979251782785714,2008,4
2008-05-31,-4.725,-7.5391666680000045,-5.9891666666,2008,5
2008-06-30,,,,2008,6
2008-07-31,-4.6425,1.4516666676666676,-3.680138889066667,2008,7
2008-08-31,-5.550111033161291,4.331825619032257,-3.790959560451613,2008,8
2008-09-30,-6.060671387666667,11.935973538666667,-3.030673473933333,2008,9
2008-10-31,-5.6680497886,10.0654270064,-3.40190919692,2008,10
2008-11-30,,,,2008,11
2008-12-31,,,,2008,12
2009-01-31,,,,2009,1
2009-02-28,-5.600771972285714,7.4440507107142855,-4.0718768765,2009,2
2009-03-31,-5.815217048153846,7.50907715076923,-4.326761325653846,2009,3
2009-04-30,-6.704704816565217,13.269540363478258,-3.8632142859130436,2009,4
2009-05-31,-4.024731182741935,-1.0854838716129036,-3.803853046516129,2009,5
2009-06-30,-3.875833333266667,0.6838888886666672,-3.2150925928666667,2009,6
2009-07-31,-5.118750000333333,3.819444444166667,-3.3330787037499996,2009,7
2009-08-31,,,,2009,8
2009-09-30,,,,2009,9
